p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,h1_action,h2_action,h1_q_cash,h1_q_preserve,h2_q_cash,h2_q_preserve,context_value,option_value,horizon_reversal
0.05,13.5,2.0,13.0,9.0,0.0,cash_out,cash_out,13.5,-2.0,13.5,6.549999999999999,8.549999999999999,-6.950000000000001,0.0
0.05,13.5,2.5,13.0,9.0,0.0,cash_out,cash_out,13.5,-2.5,13.5,6.049999999999999,8.549999999999999,-7.450000000000001,0.0
0.05,13.5,3.0,13.0,9.0,0.0,cash_out,cash_out,13.5,-3.0,13.5,5.549999999999999,8.549999999999999,-7.950000000000001,0.0
0.05,13.5,3.5,13.0,9.0,0.0,cash_out,cash_out,13.5,-3.5,13.5,5.049999999999999,8.549999999999999,-8.450000000000001,0.0
0.05,13.5,4.0,13.0,9.0,0.0,cash_out,cash_out,13.5,-4.0,13.5,4.549999999999999,8.549999999999999,-8.950000000000001,0.0
0.05,14.0,0.0,13.0,9.0,0.0,cash_out,cash_out,14.0,0.0,14.0,8.549999999999999,8.549999999999999,-5.450000000000001,0.0
0.05,14.0,0.5,13.0,9.0,0.0,cash_out,cash_out,14.0,-0.5,14.0,8.049999999999999,8.549999999999999,-5.950000000000001,0.0
0.05,14.0,1.0,13.0,9.0,0.0,cash_out,cash_out,14.0,-1.0,14.0,7.549999999999999,8.549999999999999,-6.450000000000001,0.0
0.05,14.0,1.5,13.0,9.0,0.0,cash_out,cash_out,14.0,-1.5,14.0,7.049999999999999,8.549999999999999,-6.950000000000001,0.0
0.05,14.0,2.0,13.0,9.0,0.0,cash_out,cash_out,14.0,-2.0,14.0,6.549999999999999,8.549999999999999,-7.450000000000001,0.0
0.05,14.0,2.5,13.0,9.0,0.0,cash_out,cash_out,14.0,-2.5,14.0,6.049999999999999,8.549999999999999,-7.950000000000001,0.0
0.05,14.0,3.0,13.0,9.0,0.0,cash_out,cash_out,14.0,-3.0,14.0,5.549999999999999,8.549999999999999,-8.450000000000001,0.0
0.05,14.0,3.5,13.0,9.0,0.0,cash_out,cash_out,14.0,-3.5,14.0,5.049999999999999,8.549999999999999,-8.950000000000001,0.0
0.05,14.0,4.0,13.0,9.0,0.0,cash_out,cash_out,14.0,-4.0,14.0,4.549999999999999,8.549999999999999,-9.450000000000001,0.0
0.05,14.5,0.0,13.0,9.0,0.0,cash_out,cash_out,14.5,0.0,14.5,8.549999999999999,8.549999999999999,-5.950000000000001,0.0
0.05,14.5,0.5,13.0,9.0,0.0,cash_out,cash_out,14.5,-0.5,14.5,8.049999999999999,8.549999999999999,-6.450000000000001,0.0
0.05,14.5,1.0,13.0,9.0,0.0,cash_out,cash_out,14.5,-1.0,14.5,7.549999999999999,8.549999999999999,-6.950000000000001,0.0
0.05,14.5,1.5,13.0,9.0,0.0,cash_out,cash_out,14.5,-1.5,14.5,7.049999999999999,8.549999999999999,-7.450000000000001,0.0
0.05,14.5,2.0,13.0,9.0,0.0,cash_out,cash_out,14.5,-2.0,14.5,6.549999999999999,8.549999999999999,-7.950000000000001,0.0
0.05,14.5,2.5,13.0,9.0,0.0,cash_out,cash_out,14.5,-2.5,14.5,6.049999999999999,8.549999999999999,-8.450000000000001,0.0
0.05,14.5,3.0,13.0,9.0,0.0,cash_out,cash_out,14.5,-3.0,14.5,5.549999999999999,8.549999999999999,-8.950000000000001,0.0
0.05,14.5,3.5,13.0,9.0,0.0,cash_out,cash_out,14.5,-3.5,14.5,5.049999999999999,8.549999999999999,-9.450000000000001,0.0
0.05,14.5,4.0,13.0,9.0,0.0,cash_out,cash_out,14.5,-4.0,14.5,4.549999999999999,8.549999999999999,-9.950000000000001,0.0
0.05,15.0,0.0,13.0,9.0,0.0,cash_out,cash_out,15.0,0.0,15.0,8.549999999999999,8.549999999999999,-6.450000000000001,0.0
0.05,15.0,0.5,13.0,9.0,0.0,cash_out,cash_out,15.0,-0.5,15.0,8.049999999999999,8.549999999999999,-6.950000000000001,0.0
0.05,15.0,1.0,13.0,9.0,0.0,cash_out,cash_out,15.0,-1.0,15.0,7.549999999999999,8.549999999999999,-7.450000000000001,0.0
0.05,15.0,1.5,13.0,9.0,0.0,cash_out,cash_out,15.0,-1.5,15.0,7.049999999999999,8.549999999999999,-7.950000000000001,0.0
0.05,15.0,2.0,13.0,9.0,0.0,cash_out,cash_out,15.0,-2.0,15.0,6.549999999999999,8.549999999999999,-8.450000000000001,0.0
0.05,15.0,2.5,13.0,9.0,0.0,cash_out,cash_out,15.0,-2.5,15.0,6.049999999999999,8.549999999999999,-8.950000000000001,0.0
0.05,15.0,3.0,13.0,9.0,0.0,cash_out,cash_out,15.0,-3.0,15.0,5.549999999999999,8.549999999999999,-9.450000000000001,0.0
0.05,15.0,3.5,13.0,9.0,0.0,cash_out,cash_out,15.0,-3.5,15.0,5.049999999999999,8.549999999999999,-9.950000000000001,0.0
0.05,15.0,4.0,13.0,9.0,0.0,cash_out,cash_out,15.0,-4.0,15.0,4.549999999999999,8.549999999999999,-10.450000000000001,0.0
0.05,15.5,0.0,13.0,9.0,0.0,cash_out,cash_out,15.5,0.0,15.5,8.549999999999999,8.549999999999999,-6.950000000000001,0.0
0.05,15.5,0.5,13.0,9.0,0.0,cash_out,cash_out,15.5,-0.5,15.5,8.049999999999999,8.549999999999999,-7.450000000000001,0.0
0.05,15.5,1.0,13.0,9.0,0.0,cash_out,cash_out,15.5,-1.0,15.5,7.549999999999999,8.549999999999999,-7.950000000000001,0.0
0.05,15.5,1.5,13.0,9.0,0.0,cash_out,cash_out,15.5,-1.5,15.5,7.049999999999999,8.549999999999999,-8.450000000000001,0.0
