p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,capability,expected_return,success_rate,trigger_rate,option_preserved,context_used,over_trigger_rate,is_best_return,full_return_gain_vs_myopic,full_return_gain_vs_no_context,full_success_gain_vs_no_context,performance_closure
0.05,1.0,3.5,13.0,9.0,0.0,preserve_context_contingent,5.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,preserve_no_context,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,preserve_always_trigger,-3.35,0.05,1.0,1.0,0.0,0.95,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,preserve_always_direct,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.0,13.0,9.0,0.0,preserve_context_contingent,5.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,preserve_no_context,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,preserve_always_trigger,-3.85,0.05,1.0,1.0,0.0,0.95,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,preserve_always_direct,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,4.5,13.0,9.0,0.0,preserve_context_contingent,4.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,preserve_no_context,3.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,preserve_always_trigger,-4.35,0.05,1.0,1.0,0.0,0.95,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,preserve_always_direct,3.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.0,13.0,9.0,0.0,preserve_context_contingent,4.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,preserve_no_context,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,preserve_always_trigger,-4.85,0.05,1.0,1.0,0.0,0.95,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,preserve_always_direct,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,5.5,13.0,9.0,0.0,preserve_context_contingent,3.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,preserve_no_context,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,preserve_always_trigger,-5.35,0.05,1.0,1.0,0.0,0.95,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,preserve_always_direct,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.0,13.0,9.0,0.0,preserve_context_contingent,3.1999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,preserve_no_context,2.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,preserve_always_trigger,-5.85,0.05,1.0,1.0,0.0,0.95,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,preserve_always_direct,2.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,6.5,13.0,9.0,0.0,preserve_context_contingent,2.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,preserve_no_context,1.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,preserve_always_trigger,-6.35,0.05,1.0,1.0,0.0,0.95,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,preserve_always_direct,1.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.0,13.0,9.0,0.0,preserve_context_contingent,2.1999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,preserve_no_context,1.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,preserve_always_trigger,-6.85,0.05,1.0,1.0,0.0,0.95,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,preserve_always_direct,1.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,7.5,13.0,9.0,0.0,preserve_context_contingent,1.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,myopic_cash_out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,no_preserve_action,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,preserve_no_context,0.5499999999999989,0.95,0.0,1.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,preserve_always_trigger,-7.35,0.05,1.0,1.0,0.0,0.95,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,preserve_always_direct,0.5499999999999989,0.95,0.0,1.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.0,8.0,13.0,9.0,0.0,preserve_context_contingent,1.1999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,preserve_no_context,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,preserve_always_trigger,-2.35,0.05,1.0,1.0,0.0,0.95,0.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,preserve_always_direct,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.0,13.0,9.0,0.0,preserve_context_contingent,6.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,4.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,preserve_no_context,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,preserve_always_trigger,-2.85,0.05,1.0,1.0,0.0,0.95,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,preserve_always_direct,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,3.5,13.0,9.0,0.0,preserve_context_contingent,5.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,preserve_no_context,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,preserve_always_trigger,-3.35,0.05,1.0,1.0,0.0,0.95,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,preserve_always_direct,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.0,13.0,9.0,0.0,preserve_context_contingent,5.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,preserve_no_context,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,preserve_always_trigger,-3.85,0.05,1.0,1.0,0.0,0.95,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,preserve_always_direct,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,4.5,13.0,9.0,0.0,preserve_context_contingent,4.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,preserve_no_context,3.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,preserve_always_trigger,-4.35,0.05,1.0,1.0,0.0,0.95,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,preserve_always_direct,3.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.0,13.0,9.0,0.0,preserve_context_contingent,4.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,preserve_no_context,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,preserve_always_trigger,-4.85,0.05,1.0,1.0,0.0,0.95,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,preserve_always_direct,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,5.5,13.0,9.0,0.0,preserve_context_contingent,3.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,preserve_no_context,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,preserve_always_trigger,-5.35,0.05,1.0,1.0,0.0,0.95,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,preserve_always_direct,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.0,13.0,9.0,0.0,preserve_context_contingent,3.1999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,1.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,preserve_no_context,2.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,preserve_always_trigger,-5.85,0.05,1.0,1.0,0.0,0.95,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,preserve_always_direct,2.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,6.5,13.0,9.0,0.0,preserve_context_contingent,2.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,1.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,preserve_no_context,1.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,preserve_always_trigger,-6.35,0.05,1.0,1.0,0.0,0.95,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,preserve_always_direct,1.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.0,13.0,9.0,0.0,preserve_context_contingent,2.1999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,0.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,preserve_no_context,1.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,preserve_always_trigger,-6.85,0.05,1.0,1.0,0.0,0.95,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,preserve_always_direct,1.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,7.5,13.0,9.0,0.0,preserve_context_contingent,1.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,0.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,1.5,8.0,13.0,9.0,0.0,myopic_cash_out,1.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,1.5,8.0,13.0,9.0,0.0,no_preserve_action,1.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,1.5,8.0,13.0,9.0,0.0,preserve_no_context,0.5499999999999989,0.95,0.0,1.0,0.0,0.0,0.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,1.5,8.0,13.0,9.0,0.0,preserve_always_trigger,-7.35,0.05,1.0,1.0,0.0,0.95,0.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,1.5,8.0,13.0,9.0,0.0,preserve_always_direct,0.5499999999999989,0.95,0.0,1.0,0.0,0.0,0.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,1.5,8.0,13.0,9.0,0.0,preserve_context_contingent,1.1999999999999993,1.0,0.05,1.0,1.0,0.0,0.0,-0.3000000000000007,0.6500000000000004,0.050000000000000044,0.0
0.05,2.0,3.0,13.0,9.0,0.0,myopic_cash_out,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.0,13.0,9.0,0.0,no_preserve_action,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.0,13.0,9.0,0.0,preserve_no_context,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.0,13.0,9.0,0.0,preserve_always_trigger,-2.35,0.05,1.0,1.0,0.0,0.95,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.0,13.0,9.0,0.0,preserve_always_direct,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.0,13.0,9.0,0.0,preserve_context_contingent,6.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,4.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,myopic_cash_out,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,no_preserve_action,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,preserve_no_context,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,preserve_always_trigger,-2.85,0.05,1.0,1.0,0.0,0.95,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,preserve_always_direct,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,3.5,13.0,9.0,0.0,preserve_context_contingent,5.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,myopic_cash_out,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,no_preserve_action,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,preserve_no_context,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,preserve_always_trigger,-3.35,0.05,1.0,1.0,0.0,0.95,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,preserve_always_direct,4.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.0,13.0,9.0,0.0,preserve_context_contingent,5.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,myopic_cash_out,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,no_preserve_action,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,preserve_no_context,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,preserve_always_trigger,-3.85,0.05,1.0,1.0,0.0,0.95,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,preserve_always_direct,4.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,4.5,13.0,9.0,0.0,preserve_context_contingent,4.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,5.0,13.0,9.0,0.0,myopic_cash_out,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,2.0,5.0,13.0,9.0,0.0,no_preserve_action,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
